100, 0, 135,  1711559473.0624
100, 28, 107,  1711559473.0553
100, 70, 65,  1711559473.0593
-50.0, 105, 30,  1711559473.0741
-100, 129, 6,  1711559473.0721
-100, 153, -18,  1711559473.0758
-100, 168, -33,  1711559473.0751
-100, 177, -42,  1711559473.0822
-100, 182, -47,  1711559473.0822
-100, 181, -46,  1711559473.0806
-100, 174, -39,  1711559473.0705
-100, 162, -27,  1711559473.0796
-70.0, 152, -17,  1711559473.0767
100, 133, 2,  1711559473.0769
100, 116, 19,  1711559473.0802
100, 106, 29,  1711559473.0792
100, 100, 35,  1711559473.0796
100, 96, 39,  1711559473.0754
100, 96, 39,  1711559473.08
100, 100, 35,  1711559473.0777
100, 107, 28,  1711559473.0801
100.0, 116, 19,  1711559473.0789
-30.0, 127, 8,  1711559473.0816
-100.0, 136, -1,  1711559473.0794
-100, 148, -13,  1711559473.073
-100, 155, -20,  1711559473.0759
-100, 156, -21,  1711559473.0821
-100, 156, -21,  1711559473.0818
-100, 154, -19,  1711559473.082
-100, 150, -15,  1711559473.0796
30.0, 141, -6,  1711559473.0693
100, 128, 7,  1711559473.078
100, 121, 14,  1711559473.0763
100, 116, 19,  1711559473.0786
100, 116, 19,  1711559473.0782
100, 120, 15,  1711559473.079
-10.0, 128, 7,  1711559473.0799
-90.0, 136, -1,  1711559473.0746
-100, 143, -8,  1711559473.073
-100, 145, -10,  1711559473.0787
-80.0, 144, -9,  1711559473.0799
-10.0, 140, -5,  1711559473.0779
70.0, 134, 1,  1711559473.0777
100, 129, 6,  1711559473.082
80.0, 128, 7,  1711559473.0784
30.0, 130, 5,  1711559473.0634
-100, 138, -3,  1711559473.0761
-100, 144, -9,  1711559473.0802
-100, 146, -11,  1711559473.0772
-70.0, 144, -9,  1711559473.0711
30.000000000000007, 138, -3,  1711559473.0748
100, 130, 5,  1711559473.0773
100, 125, 10,  1711559473.0756
100, 124, 11,  1711559473.0686
-50.0, 132, 3,  1711559473.0636
-100, 146, -11,  1711559473.072
-100, 149, -14,  1711559473.0842
-100, 149, -14,  1711559473.086
-100, 148, -13,  1711559473.0868
-100, 147, -12,  1711559473.0858
-60.0, 144, -9,  1711559473.0857
-50.0, 142, -7,  1711559473.0859
30.0, 137, -2,  1711559473.0775
80.0, 132, 3,  1711559473.0862
70.0, 130, 5,  1711559473.0873
90.0, 128, 7,  1711559473.0867
90.0, 127, 8,  1711559473.086
60.0, 128, 7,  1711559473.0857
70.0, 128, 7,  1711559473.0869
30.0, 130, 5,  1711559473.087
10.0, 132, 3,  1711559473.0867
-10.0, 134, 1,  1711559473.0859
-30.0, 136, -1,  1711559473.0847
-50.0, 138, -3,  1711559473.0869
-50.0, 139, -4,  1711559473.0868
-40.0, 139, -4,  1711559473.0867
-20.0, 138, -3,  1711559473.0859
-30.0, 138, -3,  1711559473.0857
10.0, 136, -1,  1711559473.086
10.0, 135, 0,  1711559473.0871
20.0, 134, 1,  1711559473.0872
30.0, 133, 2,  1711559473.0867
20.0, 133, 2,  1711559473.0858
0.0, 134, 1,  1711559473.0861
-10.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0867
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0849
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0858
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0858
0.0, 135, 0,  1711559473.0858
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0863
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0855
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0873
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0865
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0864
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0804
0.0, 135, 0,  1711559473.0835
0.0, 135, 0,  1711559473.0821
0.0, 135, 0,  1711559473.0824
0.0, 135, 0,  1711559473.078
0.0, 135, 0,  1711559473.0808
0.0, 135, 0,  1711559473.0837
0.0, 135, 0,  1711559473.0724
0.0, 135, 0,  1711559473.0818
0.0, 135, 0,  1711559473.0841
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0857
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0857
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0858
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0858
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0874
0.0, 135, 0,  1711559473.0867
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0854
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0873
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0862
0.0, 135, 0,  1711559473.0842
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0863
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0871
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0855
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0855
0.0, 135, 0,  1711559473.0857
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0855
0.0, 135, 0,  1711559473.0845
0.0, 135, 0,  1711559473.0848
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0847
0.0, 135, 0,  1711559473.0847
0.0, 135, 0,  1711559473.0864
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0824
0.0, 135, 0,  1711559473.0827
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0856
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0871
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0856
0.0, 135, 0,  1711559473.0862
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0873
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0821
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0858
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0866
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0864
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.0869
0.0, 135, 0,  1711559473.087
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.086
0.0, 135, 0,  1711559473.0861
0.0, 135, 0,  1711559473.0872
0.0, 135, 0,  1711559473.0864
0.0, 135, 0,  1711559473.0868
0.0, 135, 0,  1711559473.0859
0.0, 135, 0,  1711559473.0861
